Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Wind Onshore,5.934,5.934,10.31,23.45,35.41,112.85,137.53,133.15,an
GradualDevelopment,Sum,57.179,65.102,73.81,76.25,105.53,224.0,270.11,270.11,an
GradualDevelopment,Hydro,8.921,8.921,8.84,8.79,8.77,8.6,8.49,8.49,PL
GradualDevelopment,PV,0.022,0.022,12.41,43.08,70.37,100.25,130.15,130.83,PL
GradualDevelopment,Thermal,154.445,132.809,129.84,104.1,75.22,5.33,4.53,23.11,PL
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PL
GradualDevelopment,Wind Onshore,8.028,33.322,57.47,78.78,120.87,171.02,170.17,170.17,PL
GradualDevelopment,Sum,171.417,175.075,208.56,234.74,275.23,285.2,313.33,332.6,PL
GradualDevelopment,Hydro,24.1,24.1,33.76,46.1,48.91,48.84,47.64,48.48,PT
GradualDevelopment,PV,11.74,11.74,19.69,29.4,34.94,53.53,59.39,59.88,PT
GradualDevelopment,Thermal,23.95,20.7,16.67,2.8,1.38,1.17,1.0,1.52,PT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PT
GradualDevelopment,Wind Onshore,10.66,11.88,40.29,68.56,67.22,89.9,89.89,88.71,PT
GradualDevelopment,Sum,70.46,68.42,110.4,146.86,152.45,193.45,197.91,198.59,PT
GradualDevelopment,Hydro,16.02,22.51,28.03,40.0,40.0,39.99,39.99,39.99,RO
GradualDevelopment,PV,2.08,2.08,9.78,10.55,28.99,63.63,101.38,101.53,RO
GradualDevelopment,Thermal,33.29,30.69,35.87,42.86,82.22,82.19,82.16,76.52,RO
GradualDevelopment,Wind Offshore,1.61,1.61,1.37,1.16,0.99,0.89,0.89,0.75,RO
GradualDevelopment,Wind Onshore,5.34,5.34,5.34,5.34,4.53,3.85,7.96,7.96,RO
GradualDevelopment,Sum,58.33,62.22,80.39,99.91,156.73,190.55,232.37,226.75,RO
GradualDevelopment,Hydro,58.22,58.22,58.22,79.31,85.99,85.99,85.99,85.99,SE
GradualDevelopment,PV,0.0,0.0,0.0,0.0,8.51,24.25,31.48,32.11,SE
GradualDevelopment,Thermal,55.94,89.5,70.56,81.46,51.67,50.79,50.04,49.41,SE
GradualDevelopment,Wind Offshore,0.76,0.76,0.7,0.7,0.59,0.51,0.51,0.51,SE
GradualDevelopment,Wind Onshore,11.6,11.6,55.11,69.92,97.28,95.92,95.92,95.92,SE
GradualDevelopment,Sum,126.52,160.08,184.6,231.39,244.04,257.45,263.94,263.94,SE
GradualDevelopment,Hydro,0.52,5.3,6.799,8.8132,8.8111,8.5778,8.5061,8.3926,SI
GradualDevelopment,PV,0.11,0.11,1.5754,1.5754,3.0287,3.2822,3.3702,3.4978,SI
GradualDevelopment,Thermal,8.28,8.71,9.6623,16.1391,31.4587,31.4393,31.4229,30.2772,SI
GradualDevelopment,Wind Offshore,0.01,0.01,0.0088,0.0075,0.0064,0.0056,0.0056,0.0056,SI
GradualDevelopment,Wind Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SI
GradualDevelopment,Sum,8.91,14.13,18.0456,26.5352,43.3048,43.3048,43.3048,42.1732,SI
GradualDevelopment,Hydro,2.796,6.808,6.9556,9.902,9.9011,9.8524,9.8524,9.7715,SK
GradualDevelopment,PV,0.507,0.507,4.9173,9.3272,9.4744,12.8972,16.3166,16.4873,SK
GradualDevelopment,Thermal,17.698,19.326,25.2861,39.3306,66.8136,66.6892,66.5835,59.5619,SK
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SK
GradualDevelopment,Wind Onshore,0.003,0.003,0.0026,0.0022,0.0022,0.0022,0.0022,0.0022,SK
GradualDevelopment,Sum,21.005,26.644,37.1615,58.562,86.1913,89.441,92.7547,85.8229,SK
GradualDevelopment,Hydro,49.37,72.59,76.38,134.76,134.76,134.76,134.76,135.38,TR
GradualDevelopment,PV,0.24,12.26,76.96,127.74,308.52,425.51,495.22,514.1,TR
GradualDevelopment,Thermal,145.49,126.59,131.02,40.02,5.43,5.34,5.26,14.6,TR
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,45.32,45.32,TR
GradualDevelopment,Wind Onshore,10.19,10.19,55.91,186.76,530.42,686.41,687.32,667.88,TR
GradualDevelopment,Sum,205.29,221.63,340.27,489.28,979.12,1252.02,1367.88,1377.29,TR
GradualDevelopment,Hydro,2.19,2.19,4.3,6.29,6.13,5.91,5.65,5.44,UK
GradualDevelopment,PV,0.0,0.0,0.0,37.38,81.11,110.72,133.98,135.55,UK
GradualDevelopment,Thermal,292.23,262.09,236.7,221.11,272.79,243.17,233.31,232.42,UK
GradualDevelopment,Wind Offshore,19.08,19.08,19.06,18.21,15.47,203.7,410.09,410.09,UK
GradualDevelopment,Wind Onshore,11.27,93.24,225.45,308.64,410.55,477.13,476.89,476.89,UK
GradualDevelopment,Sum,324.78,376.6,485.51,591.62,786.04,1040.63,1259.93,1260.4,UK
